player,format,matches,innings_count,total_runs,total_balls,total_fours,total_sixes,dismissals,avg_sr,avg_boundary,avg_dot_pct,highest_score,fifties,hundreds,ducks,batting_avg,consistency,balls_bowled,runs_given,wickets,matches_bowled,dot_balls,overs_bowled,economy,bowling_avg,strike_rate_bowl,dot_pct_bowl,role,formats_played,bat_impact,bowl_impact,impact_score,cluster,pca_x,pca_y
A Alexander,T20I,8.0,8.0,50.0,33.0,2.0,4.0,5.0,115.47571428571428,14.444285714285714,43.57142857142857,30.0,0.0,0.0,2.0,10.0,12.5,99.0,105.0,8.0,8.0,52.0,16.5,6.36,13.12,12.38,52.53,Allrounder,T20I,22.47174932770499,53.1476058863077,34.74,3.0,0.6600598506804142,0.029450785635327294
A Andrews,T20I,,,,,,,,,,,,,,,,,60.0,64.0,4.0,3.0,29.0,10.0,6.4,16.0,15.0,48.33,Bowler,T20I,0.0,51.12507914326768,20.45,,,
A Ashish Reddy,IPL,23.0,23.0,280.0,193.0,16.0,15.0,15.0,137.5626086956522,14.923913043478262,29.88434782608696,36.0,0.0,0.0,0.0,18.67,13.04,262.0,400.0,18.0,20.0,83.0,43.7,9.15,22.22,14.56,31.68,Allrounder,IPL,27.61942383299295,40.67574805980867,32.84,3.0,2.9077343323994738,1.7182157009012866
A Ashok,ODI,,,,,,,,,,,,,,,,,97.0,120.0,2.0,3.0,34.0,16.2,7.41,60.0,48.5,35.05,Bowler,ODI,0.0,40.97903562382515,16.39,,,
A Ashokan,T20I,22.0,22.0,572.0,498.0,28.0,22.0,16.0,112.29818181818182,9.365454545454543,37.06636363636364,55.0,3.0,0.0,0.0,35.75,59.09,342.0,441.0,15.0,18.0,135.0,57.0,7.74,29.4,22.8,39.47,Allrounder,T20I,37.857630496301546,45.34747175446237,40.85,3.0,2.6524998107936195,-1.0350467416588969
A Athanaze,ODI,17.0,17.0,405.0,525.0,46.0,9.0,17.0,72.17411764705882,9.135882352941175,63.85294117647059,66.0,2.0,0.0,0.0,23.82,52.94,126.0,71.0,4.0,4.0,85.0,21.0,3.38,17.75,31.5,67.46,Allrounder,ODI+T20I,28.877399636623494,63.606382268045664,42.77,2.0,-0.9870842561519507,-3.4496279692056318
A Athanaze,T20I,14.0,14.0,326.0,252.0,31.0,17.0,13.0,104.85285714285716,14.07642857142857,52.34071428571429,60.0,2.0,0.0,0.0,25.08,57.14,,,,,,,,,,,Batter,ODI+T20I,35.21821333947476,0.0,21.13,,,
A Augastin,T20I,13.0,13.0,315.0,262.0,35.0,8.0,11.0,103.27692307692308,13.843846153846156,50.31230769230769,63.0,3.0,0.0,1.0,28.64,46.15,128.0,115.0,8.0,8.0,77.0,21.3,5.4,14.38,16.0,60.16,Allrounder,T20I,33.99034755977296,57.548735649764055,43.41,2.0,0.969052210266839,-2.366755561391157
A Awasthi,T20I,5.0,5.0,11.0,50.0,0.0,0.0,4.0,23.928,0.0,78.572,4.0,0.0,0.0,0.0,2.75,0.0,,,,,,,,,,,Batter,T20I,3.1265317549192133,0.0,1.88,,,
A Badoni,IPL,54.0,54.0,1135.0,817.0,91.0,44.0,44.0,120.71537037037037,13.620185185185186,39.07351851851851,74.0,7.0,0.0,4.0,25.8,44.44,,,,,,,,,,,Batter,IPL,34.59921360308721,0.0,20.76,,,
